Sleep	
Related	
Breathing	
Disorders	
Obstructive	B-CONDITION
Sleep	I-CONDITION
Apnea	I-CONDITION
Disorders	I-CONDITION
Obstructive	B-CONDITION
Sleep	I-CONDITION
Apnea	I-CONDITION
,	
Adult53	B-CONDITION
Obstructive	I-CONDITION
Sleep	I-CONDITION
Apnea	I-CONDITION
,	
	
Pediatric63	B-CONDITION
Central	I-CONDITION
Sleep	I-CONDITION
Apnea	I-CONDITION
Syndromes	I-CONDITION
Central	B-CONDITION
Sleep	I-CONDITION
Apnea	I-CONDITION
with	I-CONDITION
Cheyne	I-CONDITION
-	I-CONDITION
Stokes	I-CONDITION
Breathing	I-CONDITION
69	
Central	B-CONDITION
Apnea	I-CONDITION
Due	I-CONDITION
to	I-CONDITION
a	I-CONDITION
Medical	I-CONDITION
Disorder	I-CONDITION
without	I-CONDITION
Cheyne	I-CONDITION
-	I-CONDITION
Stokes	I-CONDITION
Breathing75	I-CONDITION
Central	B-CONDITION
Sleep	I-CONDITION
Apnea	I-CONDITION
	I-CONDITION
Due	I-CONDITION
to	I-CONDITION
High	I-CONDITION
Altitude	I-CONDITION
Periodic	I-CONDITION
Breathing	I-CONDITION
79	
Central	B-CONDITION
Sleep	I-CONDITION
Apnea	I-CONDITION
Due	I-CONDITION
to	I-CONDITION
a	I-CONDITION
Medication	I-CONDITION
or	I-CONDITION
Substance	I-CONDITION
85	
Primary	B-CONDITION
Central	I-CONDITION
Sleep	I-CONDITION
Apnea	I-CONDITION
	
89	
Primary	B-CONDITION
Central	I-CONDITION
Sleep	I-CONDITION
Apnea	I-CONDITION
of	I-CONDITION
Infancy94	I-CONDITION
Primary	B-CONDITION
Central	I-CONDITION
Sleep	I-CONDITION
Apnea	I-CONDITION
of	I-CONDITION
Prematurity98	I-CONDITION
Treatment	B-CONDITION
-	I-CONDITION
Emergent	I-CONDITION
Central	I-CONDITION
Sleep	I-CONDITION
Apnea	I-CONDITION
102	
Sleep	B-CONDITION
Related	I-CONDITION
Hypoventilation	I-CONDITION
Disorders	I-CONDITION
Obesity	B-RISKFACTOR
Hypoventilation	B-CONDITION
Syndrome	I-CONDITION
108	
Congenital	B-CONDITION
Central	I-CONDITION
Alveolar	I-CONDITION
Hypoventilation	I-CONDITION
Syndrome	I-CONDITION
	
113	
Late	B-CONDITION
-	
Onset	I-CONDITION
Central	I-CONDITION
Hypoventilation	I-CONDITION
with	I-CONDITION
Hypothalamic	I-CONDITION
Dysfunction	I-CONDITION
118	
Idiopathic	B-CONDITION
Central	I-CONDITION
Alveolar	I-CONDITION
Hypoventilation	I-CONDITION
121	
Sleep	B-CONDITION
Related	I-CONDITION
Hypoventilation	I-CONDITION
Due	I-CONDITION
to	I-CONDITION
a	I-CONDITION
Medication	I-CONDITION
or	I-CONDITION
Substance	I-CONDITION
	
124	
Sleep	B-CONDITION
Related	I-CONDITION
Hypoventilation	I-CONDITION
Due	I-CONDITION
to	I-CONDITION
a	I-CONDITION
Medical	I-CONDITION
Disorder128	I-CONDITION
Sleep	B-CONDITION
Related	I-CONDITION
Hypoxemia	I-CONDITION
Disorder	I-CONDITION
Sleep	B-CONDITION
Related	I-CONDITION
Hypoxemia134	I-CONDITION
Isolated	
Symptoms	
and	
Normal	
Variants	
	
Snoring	B-SYMPTOM
139	
Catathrenia	B-CONDITION
141	
The	
sleep	
related	
breathing	
disorders	
are	
characterized	
by	
abnormalities	
of	
respi-	
ration	
during	
sleep	
.	
	
In	
some	
of	
these	
disorders	
,	
respiration	
is	
also	
abnormal	
during	
wakefulness	
.	
	
The	
disorders	
are	
grouped	
into	
obstructive	B-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
(	I-CONDITION
OSA	I-CONDITION
)	I-CONDITION
disorders	I-CONDITION
,	
central	B-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
disorders	I-CONDITION
,	
sleep	B-CONDITION
related	I-CONDITION
hypoventilation	I-CONDITION
disorders	I-CONDITION
,	
and	
sleep	B-CONDITION
related	I-CONDITION
hypoxemia	I-CONDITION
disorder	I-CONDITION
.	
	
However	
,	
many	
patients	
will	
meet	
diagnostic	
criteria	
for	
more	
than	
one	
of	
these	
groups	
.	
	
In	
particular	
,	
many	
patients	
have	
a	
combination	
of	
obstruc-	B-CONDITION
tive	I-CONDITION
and	I-CONDITION
central	I-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
.	
	
Although	
a	
diagnosis	
is	
often	
based	
on	
which	
disorder	
Sleep	
Related	
Breathing	
Disorders	
predominates	
,	
this	
may	
vary	
from	
night	
to	
night	
as	
well	
as	
over	
time	
in	
individual	
patients	
.	
	
There	
is	
also	
overlap	
in	
pathophysiology	B-CONCEPT
,	
as	
some	
central	B-CONCEPT
apneas	I-CONCEPT
are	
associ-	
ated	
with	
a	
closed	B-CONCEPT
upper	I-CONCEPT
airway	I-CONCEPT
and	
many	
obstructive	B-CONCEPT
apneas	I-CONCEPT
begin	
during	
a	
time	
of	
falling	B-CONCEPT
ventilatory	I-CONCEPT
drive	I-CONCEPT
.	
	
In	
the	
sections	
that	
follow	
,	
individual	B-CONCEPT
respiratory	I-CONCEPT
events	I-CONCEPT
(	
e.g.	
,	
apneas	B-CONCEPT
,	
hypopneas	B-CONCEPT
,	
and	
hypoventilation	B-CONCEPT
)	
are	
not	
defined	
;	
rather	
,	
reference	
is	
made	
to	
the	
most	
recent	
version	
of	
the	
American	B-DOCUMENT
Academy	I-DOCUMENT
of	I-DOCUMENT
Sleep	I-DOCUMENT
Medicine	I-DOCUMENT
(	I-DOCUMENT
AASM	I-DOCUMENT
)	I-DOCUMENT
Manual	I-DOCUMENT
for	I-DOCUMENT
the	I-DOCUMENT
Scoring	I-DOCUMENT
of	I-DOCUMENT
Sleep	I-DOCUMENT
and	I-DOCUMENT
Associated	I-DOCUMENT
Events	I-DOCUMENT
for	
these	
definitions	
.	
	
The	
AASM	B-DOCUMENT
Manual	I-DOCUMENT
for	I-DOCUMENT
the	I-DOCUMENT
Scoring	I-DOCUMENT
of	I-DOCUMENT
Sleep	I-DOCUMENT
and	I-DOCUMENT
Associated	I-DOCUMENT
Events	I-DOCUMENT
includes	
different	
scoring	
rules	
for	
adult	B-CONCEPT
and	
pediatric	B-CONCEPT
individuals	
,	
definitions	
of	
obstructive	B-CONCEPT
and	I-CONCEPT
central	I-CONCEPT
apneas	I-CONCEPT
and	
hypopneas	B-CONCEPT
,	
and	
rules	
for	
scoring	
Cheyne	B-CONDITION
-	I-CONDITION
Stokes	I-CONDITION
breathing	I-CONDITION
and	
hypoventilation	B-CONDITION
.	
	
The	
OSA	B-CONDITION
disorders	I-CONDITION
are	
separated	
into	
adult	B-CONCEPT
and	I-CONCEPT
pediatric	I-CONCEPT
categories	I-CONCEPT
,	
as	
the	
presenta-	
tion	
,	
diagnostic	
criteria	
,	
course	
,	
and	
complications	
differ	
significantly	
.	
	
These	
disorders	
are	
characterized	
by	
upper	B-CONCEPT
airway	I-CONCEPT
narrowing	I-CONCEPT
or	I-CONCEPT
closure	I-CONCEPT
during	
sleep	
while	
respiratory	B-CONCEPT
effort	I-CONCEPT
continues	
(	
at	
least	
during	
some	
portion	
of	
the	
event	
)	
.	
	
The	
use	
of	
out	B-TEST
-	I-TEST
of	I-TEST
-	I-TEST
cen-	I-TEST
ter	I-TEST
sleep	I-TEST
testing	I-TEST
(	
OCST	B-TEST
)	
with	
limited	B-CONCEPT
channels	I-CONCEPT
(	
electroencephalogram	B-TEST
[	
EEG	B-TEST
]	
is	
not	
usually	
recorded	
)	
is	
now	
included	
in	
the	
diagnostic	
criteria	
for	
adult	B-CONDITION
OSA	I-CONDITION
.	
	
The	
central	B-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
syndromes	I-CONDITION
are	
characterized	
by	
reduction	
or	
cessation	
of	
airflow	
due	
to	
absent	
or	
reduced	
respiratory	B-CONCEPT
effort	I-CONCEPT
.	
	
Central	B-CONCEPT
apnea	I-CONCEPT
or	
hypopnea	B-CONCEPT
may	
occur	
in	
a	
cyclical	B-CONCEPT
or	I-CONCEPT
intermittent	I-CONCEPT
fashion	I-CONCEPT
.	
	
Patients	
with	
central	B-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
of	
various	
etiologies	B-CONCEPT
may	
also	
exhibit	
OSA	B-CONDITION
.	
	
In	
primary	B-CONDITION
central	I-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
,	
the	
cause	
of	
the	
disorder	
is	
unknown	
(	
idiopathic	B-CONCEPT
)	
.	
	
The	
arterial	B-CONCEPT
partial	I-CONCEPT
pressure	I-CONCEPT
of	I-CONCEPT
carbon	I-CONCEPT
dioxide	I-CONCEPT
(	
PaCO2	B-CONCEPT
)	
during	
wake	
in	
these	
patients	
is	
normal	
or	
low	
.	
	
Patients	
do	
not	
meet	
diagnostic	
criteria	
for	
other	
central	B-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
dis-	I-CONDITION
orders	I-CONDITION
.	
	
In	
central	B-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
with	I-CONDITION
Cheyne	I-CONDITION
-	I-CONDITION
Stokes	I-CONDITION
breathing	I-CONDITION
,	
there	
is	
a	
cyclical	
pattern	
of	
crescendo	B-SYMPTOM
-	I-SYMPTOM
decrescendo	I-SYMPTOM
respiration	I-SYMPTOM
separated	
by	
central	B-CONCEPT
apneas	I-CONCEPT
or	
central	B-CONCEPT
hypopneas	I-CONCEPT
.	
	
Most	
patients	
with	
this	
disorder	
have	
congestive	B-RISKFACTOR
heart	I-RISKFACTOR
failure	I-RISKFACTOR
(	
reduced	B-RISKFACTOR
or	I-RISKFACTOR
preserved	I-RISKFACTOR
ejection	I-RISKFACTOR
fraction	I-RISKFACTOR
)	
,	
although	
,	
less	
commonly	
,	
others	
exhibit	
this	
breathing	
pattern	
fol-	
lowing	
stroke	B-RISKFACTOR
or	
in	
association	
with	
other	
neurological	
disorders	
.	
	
In	
high	B-CONDITION
-	I-CONDITION
altitude	I-CONDITION
peri-	I-CONDITION
odic	I-CONDITION
breathing	I-CONDITION
,	
the	
disorder	
is	
associated	
with	
acute	
ascent	
to	
high	
altitude	
.	
	
Symptoms	
must	
be	
present	
to	
establish	
the	
diagnosis	
of	
high	B-CONDITION
-	I-CONDITION
altitude	I-CONDITION
periodic	I-CONDITION
breathing	I-CONDITION
,	
as	
this	
breathing	
pattern	
is	
an	
expected	
finding	
after	
ascent	
to	
altitude	
.	
	
Central	B-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
due	I-CONDITION
to	I-CONDITION
medical	I-CONDITION
or	I-CONDITION
neurological	I-CONDITION
condition	I-CONDITION
(	
not	
Cheyne	B-CONDITION
-	I-CONDITION
Stokes	I-CONDITION
)	
is	
usually	
due	
to	
a	
struc-	B-CONCEPT
tural	I-CONCEPT
lesion	I-CONCEPT
in	
the	
central	B-CONCEPT
nervous	I-CONCEPT
system	I-CONCEPT
.	
	
These	
disorders	
should	
be	
excluded	
before	
a	
diagnosis	
of	
primary	B-CONDITION
central	I-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
is	
made	
.	
	
In	
central	B-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
due	I-CONDITION
to	I-CONDITION
drug	I-CONDITION
or	I-CONDITION
substance	I-CONDITION
,	
the	
patient	
demonstrates	
central	B-CONCEPT
apneas	I-CONCEPT
secondary	
to	
the	
effects	
of	
potent	
opioids	B-CONCEPT
or	
other	
respiratory	B-CONCEPT
depressants	I-CONCEPT
on	
respiratory	B-CONCEPT
control	I-CONCEPT
centers	I-CONCEPT
.	
	
Treatment	B-CONDITION
-	I-CONDITION
emergent	I-CONDITION
central	I-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
is	
a	
new	
addition	
to	
the	
International	B-DOCUMENT
Classification	I-DOCUMENT
of	I-DOCUMENT
Sleep	I-DOCUMENT
Disorders	I-DOCUMENT
.	
	
In	
this	
disorder	
,	
the	
patient	
exhibits	
predominantly	
obstructive	
events	
during	
diagnostic	
sleep	
testing	
(	
e.g.	
,	
obstructive	B-CONCEPT
or	I-CONCEPT
mixed	I-CONCEPT
apneas	I-CONCEPT
and	
obstructive	B-CONCEPT
hypopneas	I-CONCEPT
)	
,	
but	
central	B-CONCEPT
apneas	I-CONCEPT
or	
central	B-CONCEPT
hypopneas	I-CONCEPT
emerge	
or	
persist	
on	
positive	B-TREATMENT
airway	I-TREATMENT
pressure	I-TREATMENT
treatment	I-TREATMENT
without	
a	
backup	B-CONCEPT
rate	I-CONCEPT
and	
are	
the	
predominant	
residual	B-CONCEPT
breathing	I-CONCEPT
abnormality	I-CONCEPT
(	
i.e.	
,	
obstructive	B-CONCEPT
events	I-CONCEPT
have	
resolved	
)	
.	
	
A	
diagnosis	
of	
treatment	B-CONDITION
-	I-CONDITION
emergent	I-CONDITION
central	I-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
is	
made	
when	
the	
central	B-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
component	
is	
not	
better	
explained	
by	
another	
diagnosis	
(	
i.e.	
,	
another	
central	B-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
disorder	I-CONDITION
)	
.	
	
Sleep	B-CONDITION
related	I-CONDITION
hypoventilation	I-CONDITION
disorders	I-CONDITION
are	
characterized	
by	
an	
abnormal	
increase	
in	
the	
arterial	I-CONCEPT
PCO2	I-CONCEPT
(	
PaCO2	B-CONCEPT
)	
during	
sleep	
.	
	
Adult	B-CONDITION
and	I-CONDITION
pediatric	I-CONDITION
hypoventilation	I-CONDITION
disorders	I-CONDITION
are	
defined	
by	
different	
criteria	
.	
	
For	
adults	
,	
an	
increase	
in	
the	
arterial	B-CONCEPT
PCO2	I-CONCEPT
(	
or	
sur-	B-CONCEPT
rogate	I-CONCEPT
)	
to	
greater	
than	
55	
mm	
Hg	
for	
at	
least	
10	
minutes	
or	
an	
increase	
≥	
10	
mm	
	
Hg	
above	
the	
awake	
value	
to	
a	
value	
of	
50	
mm	
Hg	
or	
greater	
for	
at	
least	
10	
minutes	
is	
required	
.	
	
In	
pediatric	B-CONCEPT
patients	
,	
the	
PaCO2	B-CONCEPT
(	
or	
surrogate	B-CONCEPT
)	
must	
be	
greater	
than	
50	
mm	
Hg	
for	
greater	
than	
25	
%	
of	
total	
sleep	
time	
.	
	
In	
this	
edition	
of	
the	
International	B-DOCUMENT
Classification	I-DOCUMENT
of	I-DOCUMENT
Sleep	I-DOCUMENT
Disorders	I-DOCUMENT
,	
there	
are	
a	
number	
of	
changes	
in	
the	
classification	
of	
sleep	B-CONDITION
related	I-CONDITION
hypoventilation	I-CONDITION
disorders	I-CONDITION
.	
	
The	
obesity	B-CONDITION
hypoventilation	I-CONDITION
syndrome	I-CONDITION
is	
listed	
as	
a	
separate	
disorder	
given	
that	
it	
is	
both	
prevalent	
and	
has	
distinct	
clinical	
characteristics	
.	
	
In	
contrast	
to	
other	
sleep	B-CONDITION
related	I-CONDITION
hypoventila-	I-CONDITION
tion	I-CONDITION
disorders	I-CONDITION
,	
a	
diagnosis	
of	
obesity	B-CONDITION
hypoventilation	I-CONDITION
syndrome	I-CONDITION
requires	
documenta-	
tion	
of	
awake	B-CONDITION
(	I-CONDITION
daytime	I-CONDITION
)	I-CONDITION
hypoventilation	I-CONDITION
(	
PaCO2	B-CONCEPT
>	
45	
mm	
Hg	
)	
.	
	
For	
the	
other	
disorders	
in	
this	
category	
,	
awake	B-CONCEPT
hypoventilation	I-CONCEPT
may	
or	
may	
not	
be	
present	
.	
	
In	
the	
previous	
version	
of	
the	
International	B-DOCUMENT
Classification	I-DOCUMENT
of	I-DOCUMENT
Sleep	I-DOCUMENT
Disorders	I-DOCUMENT
,	
a	
group	
of	
disorders	
were	
listed	
under	
the	
category	
of	
sleep	B-CONDITION
related	I-CONDITION
hypoventilation	I-CONDITION
/	I-CONDITION
hypoxemia	I-CONDITION
disorders	I-CONDITION
.	
	
In	
the	
International	B-DOCUMENT
Classification	I-DOCUMENT
of	I-DOCUMENT
Sleep	I-DOCUMENT
Disorders	I-DOCUMENT
,	I-DOCUMENT
3rd	I-DOCUMENT
Edition	I-DOCUMENT
,	
disorders	
manifesting	
hypoventilation	B-CONDITION
are	
separated	
from	
disorders	
in	
which	
only	
a	
finding	
of	
hypoxemia	B-CONDITION
(	
arterial	B-CONCEPT
oxygen	I-CONCEPT
desaturation	I-CONCEPT
)	
during	
sleep	
is	
documented	
.	
	
Demonstrating	
sleep	B-CONCEPT
related	I-CONCEPT
hypoventilation	I-CONCEPT
rather	
than	
simply	
hypoxemia	B-CONCEPT
has	
important	
diagnostic	
and	
treatment	
consequences	
.	
	
Sleep	B-CONDITION
related	I-CONDITION
hypoxemia	I-CONDITION
disorders	I-CONDITION
are	
characterized	
by	
sustained	
periods	
of	
significantly	
reduced	
oxyhemoglobin	B-CONCEPT
saturation	I-CONCEPT
during	
sleep	
.	
	
This	
diagnostic	
category	
is	
used	
when	
sleep	B-CONDITION
related	I-CONDITION
hypoventilation	I-CONDITION
is	
either	
not	
present	
or	
the	
status	
is	
unknown	
.	
	
Sleep	B-CONDITION
related	I-CONDITION
hypoxemia	I-CONDITION
can	
occur	
due	
to	
hypoventilation	B-CONCEPT
,	
ven-	B-CONCEPT
tilation	I-CONCEPT
-	I-CONCEPT
perfusion	I-CONCEPT
mismatch	I-CONCEPT
,	
low	
partial	B-CONCEPT
pressure	I-CONCEPT
of	
oxygen	B-CONCEPT
,	
shunt	B-CONCEPT
,	
or	
a	
combination	
of	
Sleep	
Related	
Breathing	
Disorders	
Sleep	
Related	
Breathing	
Disorders	
these	
factors	
.	
	
Many	
diverse	
etiologies	B-CONCEPT
can	
be	
associated	
with	
sleep	B-CONDITION
related	I-CONDITION
hypoxemia	I-CONDITION
.	
	
There	
are	
no	
longer	
separate	
diagnostic	
categories	
for	
the	
various	
types	
of	
medical	
and	
neurological	
pathology	B-CONCEPT
that	
may	
contribute	
to	
hypoventilation	B-CONCEPT
or	
hypoxemia	I-CONCEPT
.	
	
In	
the	
International	B-DOCUMENT
Classification	I-DOCUMENT
of	I-DOCUMENT
Sleep	I-DOCUMENT
Disorders	I-DOCUMENT
,	I-DOCUMENT
2nd	I-DOCUMENT
Edition	I-DOCUMENT
,	
these	
included	
lower	B-CONCEPT
airway	I-CONCEPT
obstruction	I-CONCEPT
,	
pulmonary	B-CONCEPT
parenchymal	I-CONCEPT
and	
vascular	B-CONCEPT
pathology	I-CONCEPT
,	
and	
neuromus-	B-CONCEPT
cular	I-CONCEPT
and	
chest	B-CONCEPT
wall	I-CONCEPT
disorders	I-CONCEPT
.	
	
In	
the	
International	B-DOCUMENT
Classification	I-DOCUMENT
of	I-DOCUMENT
Sleep	I-DOCUMENT
Disorders	I-DOCUMENT
,	I-DOCUMENT
3rd	I-DOCUMENT
Edition	I-DOCUMENT
,	
the	
specific	
pulmonary	B-CONCEPT
or	
neurological	I-CONCEPT
disorder	
should	
be	
diagnosed	
sep-	
arately	
,	
in	
association	
with	
a	
diagnosis	
of	
sleep	B-CONDITION
related	I-CONDITION
hypoventilation	I-CONDITION
due	
medical	
or	
neurological	
condition	
or	
sleep	B-CONDITION
related	I-CONDITION
hypoxemia	I-CONDITION
.	
	
Bibliography	
Badr	
MS	
,	
Toiber	
F	
,	
Skatrud	
JB	
,	
Dempsey	
J.	
Pharyngeal	
narrowing	
/	
occlusion	
during	
central	
sleep	
apnea	
.	
	
J	
Appl	
Physiol	
1995;78:1806–15	
.	
	
Berry	
RB	
,	
Brooks	
R	
,	
Gamaldo	
CE	
,	
Harding	
SM	
,	
Lloyd	
RM	
,	
Marcus	
CL	
and	
Vaughn	
BV	
for	
the	
American	
Academy	
of	
Sleep	
Medicine	
.	
	
The	B-DOCUMENT
AASM	I-DOCUMENT
Manual	I-DOCUMENT
for	I-DOCUMENT
the	I-DOCUMENT
Scoring	I-DOCUMENT
of	I-DOCUMENT
Sleep	I-DOCUMENT
and	I-DOCUMENT
Associated	I-DOCUMENT
Events	I-DOCUMENT
:	I-DOCUMENT
Rules	I-DOCUMENT
,	I-DOCUMENT
Terminology	I-DOCUMENT
and	I-DOCUMENT
Technical	I-DOCUMENT
Specifications	I-DOCUMENT
,	I-DOCUMENT
Version	I-DOCUMENT
2.0.3	I-DOCUMENT
.	
www.aasmnet.org	
.	
	
Darien	
,	
IL	
:	
American	
Academy	
of	
Sleep	
Medicine	
,	
2014	
Tkacova	
R	
,	
Niroumand	
M	
,	
Lorenzi	
-	
Filho	
G	
,	
Bradley	
TD	
.	
	
Overnight	B-DOCUMENT
shift	I-DOCUMENT
from	I-DOCUMENT
obstructive	I-DOCUMENT
to	I-DOCUMENT
central	I-DOCUMENT
apneas	I-DOCUMENT
in	I-DOCUMENT
patients	I-DOCUMENT
with	I-DOCUMENT
heart	I-DOCUMENT
failure	I-DOCUMENT
:	I-DOCUMENT
role	I-DOCUMENT
of	I-DOCUMENT
PCO2	I-DOCUMENT
and	I-DOCUMENT
circulatory	I-DOCUMENT
delay	I-DOCUMENT
.	
	
Circulation	
2001;103:238–43	
.	
	
Tkacova	
R	
,	
Wang	
H	
,	
Bradley	
TD	
.	
	
Night	B-DOCUMENT
-	I-DOCUMENT
to	I-DOCUMENT
-	I-DOCUMENT
night	I-DOCUMENT
alterations	I-DOCUMENT
in	I-DOCUMENT
sleep	I-DOCUMENT
apnea	I-DOCUMENT
type	I-DOCUMENT
in	I-DOCUMENT
patients	I-DOCUMENT
with	I-DOCUMENT
heart	I-DOCUMENT
failure	I-DOCUMENT
.	
	
J	
Sleep	
Res	
2006;15:321–8	
.	
	
Obstructive	B-CONDITION
Sleep	I-CONDITION
Apnea	I-CONDITION
Disorders	I-CONDITION
Obstructive	B-CONDITION
Sleep	I-CONDITION
Apnea	I-CONDITION
,	
Adult	B-CONCEPT
ICD-9	I-CONCEPT
-	I-CONCEPT
CM	I-CONCEPT
code	I-CONCEPT
:	
327.23	
ICD-10	B-CONCEPT
-	I-CONCEPT
CM	I-CONCEPT
code	I-CONCEPT
:	
G47.33	
Alternate	
Names	
OSA	B-CONDITION
syndrome	I-CONDITION
,	
sleep	B-CONDITION
apnea	I-CONDITION
,	
sleep	B-CONDITION
apnea	I-CONDITION
syndrome	I-CONDITION
,	
obstructive	B-CONDITION
apnea	I-CONDITION
,	
sleep	B-CONDITION
disor-	I-CONDITION
dered	I-CONDITION
breathing	I-CONDITION
,	
obstructive	B-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
hypopnea	I-CONDITION
syndrome	I-CONDITION
.	
	
The	
term	
upper	B-CONDITION
airway	I-CONDITION
resistance	I-CONDITION
syndrome	I-CONDITION
(	
UARS	B-CONDITION
)	
is	
subsumed	
under	
this	
diagnosis	
because	
the	
pathophysiology	B-CONCEPT
does	
not	
significantly	
differ	
from	
that	
of	
obstructive	B-CONDITION
sleep	I-CONDITION
apnea	I-CONDITION
.	
	
Use	
of	
the	
term	
Pickwickian	B-CONDITION
syndrome	I-CONDITION
is	
discouraged	
because	
not	
only	
has	
it	
been	
applied	
to	
those	
with	
OSA	B-CONDITION
,	
but	
also	
indiscriminately	
used	
to	
describe	
persons	
who	
are	
only	
obese	
and	
those	
with	
obesity	B-CONDITION
hypoventilation	I-CONDITION
syndrome	I-CONDITION
.	
	
Diagnostic	
Criteria	
(	
A	
and	
B	
)	
or	
C	
satisfy	
the	
criteria	
A.	
	
The	
presence	
of	
one	
or	
more	
of	
the	
following	
:	
.	
	
The	
patient	
complains	
of	
sleepiness	B-SYMPTOM
,	
nonrestorative	B-SYMPTOM
sleep	I-SYMPTOM
,	
fatigue	B-SYMPTOM
,	
or	
insomnia	B-SYMPTOM
symptoms	I-SYMPTOM
.	
.	
	
The	
patient	
wakes	
with	
breath	B-SYMPTOM
holding	I-SYMPTOM
,	
gasping	B-SYMPTOM
,	
or	
choking	B-SYMPTOM
.	
.	
	
The	
bed	
partner	
or	
other	
observer	
reports	
habitual	B-SYMPTOM
snoring	I-SYMPTOM
,	
breathing	B-SYMPTOM
interruptions	I-SYMPTOM
,	
or	
both	
during	
the	
patient	
’s	
sleep	
.	
.	
	
The	
patient	
has	
been	
diagnosed	
with	
hypertension	B-SYMPTOM
,	
a	
mood	B-SYMPTOM
disorder	I-SYMPTOM
,	
cognitive	B-SYMPTOM
dysfunction	I-SYMPTOM
,	
coronary	B-SYMPTOM
artery	I-SYMPTOM
disease	I-SYMPTOM
,	
stroke	B-SYMPTOM
,	
congestive	B-SYMPTOM
heart	I-SYMPTOM
failure	I-SYMPTOM
,	
atrial	B-SYMPTOM
fibrillation	I-SYMPTOM
,	
or	
type	B-SYMPTOM
2	I-SYMPTOM
diabetes	I-SYMPTOM
mellitus	I-SYMPTOM
.	
	
B.	
Polysomnography	B-TEST
(	
PSG	B-TEST
)	
or	
OCST1	B-TEST
demonstrates	
:	
.	
	
Five	
or	
more	
predominantly	
obstructive	B-CONCEPT
respiratory	I-CONCEPT
events2	I-CONCEPT
(	
obstructive	B-CONCEPT
and	I-CONCEPT
mixed	I-CONCEPT
apneas	I-CONCEPT
,	
hypopneas	B-CONCEPT
,	
or	
respiratory	B-CONCEPT
effort	I-CONCEPT
related	I-CONCEPT
arousals	I-CONCEPT
[	
RERAs])3	B-CONCEPT
per	
hour	
of	
sleep	
during	
a	
PSG	B-TEST
or	
per	
hour	
of	
monitoring	B-TEST
(	
OCST).1	B-TEST
OR	
C.	
PSG	B-TEST
or	
OCST1	B-TEST
demonstrates	
:	
.	
	
Fifteen	
or	
more	
predominantly	
obstructive	B-CONCEPT
respiratory	I-CONCEPT
events	I-CONCEPT
(	
apneas	B-CONCEPT
,	
hypopneas	B-CONCEPT
,	
or	
RERAs)3	B-CONCEPT
per	
hour	
of	
sleep	
during	
a	
PSG	B-TEST
or	
per	
hour	
of	
monitoring	B-TEST
(	
OCST).1	B-TEST
Sleep	
Related	
Breathing	
Disorders	
Sleep	
Related	
Breathing	
Disorders	
Notes	
.	
	
OCST	B-TEST
commonly	
underestimates	
the	
